id	filename	md5	size	state
07d7a756-b0b1-401a-bbfe-fe061c48e0a5	07d7a756-b0b1-401a-bbfe-fe061c48e0a5/nationwidechildrens.org_omf.TCGA-GM-A2DD.xml	102464625da9534410c3b123479f045d	11844	validated
0be860a4-5d31-4dba-8734-6781833baa0c	0be860a4-5d31-4dba-8734-6781833baa0c/nationwidechildrens.org_omf.TCGA-GM-A2DO.xml	1744b9932d854c9580d6e283572a42f1	11088	validated
10d78662-7659-4059-accc-fa9d960ec696	10d78662-7659-4059-accc-fa9d960ec696/nationwidechildrens.org_omf.TCGA-BH-A0EA.xml	9d46b248c408c100651fbe23e48f4e17	11090	validated
143a19c7-087d-4e9f-b908-95472e3962c0	143a19c7-087d-4e9f-b908-95472e3962c0/nationwidechildrens.org_omf.TCGA-E2-A15O.xml	b90eb38c6cc3e75ed998f5c080081a2e	10994	validated
1506e580-4170-4c0f-8e7a-bcf594bbebd8	1506e580-4170-4c0f-8e7a-bcf594bbebd8/nationwidechildrens.org_omf.TCGA-A7-A26F.xml	87b595e2874ce4c2fae53e671cc471dc	10739	validated
16d2fe2b-57fd-40ae-a892-c977e0dfc78d	16d2fe2b-57fd-40ae-a892-c977e0dfc78d/nationwidechildrens.org_omf.TCGA-AC-A3W6.xml	faef48fb439a2dc7cadcbc6940b19271	10919	validated
23ba1fd5-e4a2-4222-ab2c-bd70dafba917	23ba1fd5-e4a2-4222-ab2c-bd70dafba917/nationwidechildrens.org_clinical_follow_up_v4.0_brca.txt	90848e4854527903d12cc9b06cb512fe	123267	validated
278d43a7-e6f4-4895-b0f5-263aab3e622e	278d43a7-e6f4-4895-b0f5-263aab3e622e/nationwidechildrens.org_omf.TCGA-A7-A426.xml	24379281c97ed73705dd25f28e8f23b4	11215	validated
28ce4163-5c4b-402a-b243-f038e2ef4799	28ce4163-5c4b-402a-b243-f038e2ef4799/nationwidechildrens.org_omf.TCGA-E2-A1LG.xml	e90ad871e315780e412e3e58227e2a69	11128	validated
2d44af93-48bf-48c0-a60b-ad9ac2179451	2d44af93-48bf-48c0-a60b-ad9ac2179451/nationwidechildrens.org_omf.TCGA-S3-AA12.xml	415e167829cbefa441265923c7839bc7	11193	validated
30b90986-3c56-433c-95b1-625bf144b3d1	30b90986-3c56-433c-95b1-625bf144b3d1/nationwidechildrens.org_omf.TCGA-LL-A5YP.xml	acda4853f402307fd330029a6fc41b1c	19429	validated
32611220-c362-4908-a30e-cc12488f7f34	32611220-c362-4908-a30e-cc12488f7f34/nationwidechildrens.org_omf.TCGA-A8-A06T.xml	8626ceb6e4b425869f8f0681401bd10b	10873	validated
382ab51f-e2a7-4987-9cb3-a3b3903ac803	382ab51f-e2a7-4987-9cb3-a3b3903ac803/nationwidechildrens.org_omf.TCGA-E2-A2P5.xml	7214ac7e6bf1fc5209fd518414e32a6d	11019	validated
433720ff-89fc-4f34-8a33-6d266b393912	433720ff-89fc-4f34-8a33-6d266b393912/nationwidechildrens.org_omf.TCGA-Z7-A8R5.xml	9024d981aeef55e5d5daa8c5b9b87d08	10962	validated
47c3befd-4908-40ab-8bc7-515e0825e52f	47c3befd-4908-40ab-8bc7-515e0825e52f/nationwidechildrens.org_clinical_follow_up_v4.0_nte_brca.txt	1aaad3cc1e6eabf90bbaa67be9875244	47063	validated
48dcc7a2-3a41-4ddd-805f-b279f4fee448	48dcc7a2-3a41-4ddd-805f-b279f4fee448/nationwidechildrens.org_omf.TCGA-A7-A2KD.xml	61e74bae411b280a178a3cbdfd0a2f99	11108	validated
4a28c757-c746-4111-bab5-775042f2b255	4a28c757-c746-4111-bab5-775042f2b255/nationwidechildrens.org_omf.TCGA-A8-A09K.xml	c07a96cf351ad62f07ad5c46cae3d26a	10877	validated
4cd47ac6-5830-45c3-83a5-eab849f510e6	4cd47ac6-5830-45c3-83a5-eab849f510e6/nationwidechildrens.org_omf.TCGA-S3-AA17.xml	008e53dc218e574653af2c7b44432e9b	11191	validated
